time,o_taz,d_taz,total
13,26510310,26510110,392.67
13,26510310,26510130,283.027
13,26510310,26510310,649.027
14,21510111,21510111,1083.98
14,21510111,21510120,297.717
14,21510111,21510130,692.36
14,21510111,21510330,269.007
14,21510111,26510110,472.884
14,21510111,26510130,307.564
14,21510111,26510310,302.522
14,21510120,21510111,297.302
14,21510120,21510120,1005.68
14,21510120,21510130,588.376
14,21510120,21510330,208.266
14,21510120,26510110,417.481
14,21510120,26510130,275.177
14,21510120,26510310,342.265
14,21510130,21510111,385.449
14,21510130,21510120,531.431
14,21510130,21510130,3321.28
14,21510130,21510330,478.4
14,21510130,26510110,661.812
14,21510130,26510130,459.418
14,21510130,26510310,488.959
14,21510330,21510111,204.885
14,21510330,21510120,83.8164
14,21510330,21510130,515.652
14,21510330,21510330,619.815
14,21510330,26510110,354.9
14,21510330,26510130,193.733
14,21510330,26510310,161.049
14,26510110,21510111,206.783
14,26510110,21510120,224.519
14,26510110,21510130,548.811
14,26510110,21510330,278.439
14,26510110,26510110,1735.05
14,26510110,26510130,578.055
14,26510110,26510310,335.562
14,26510130,21510111,217.104
14,26510130,21510120,230.213
14,26510130,21510130,488.84
14,26510130,21510330,215.562
14,26510130,26510110,824.106
14,26510130,26510130,1031.9
14,26510130,26510310,359.883
14,26510310,21510111,230.866
14,26510310,21510120,243.382
14,26510310,21510130,440.14
14,26510310,21510330,149.482
14,26510310,26510110,400.872
14,26510310,26510130,288.938
14,26510310,26510310,662.583
15,21510111,21510111,1068.75
15,21510111,21510120,293.535
15,21510111,21510130,682.633
15,21510111,21510330,265.228
15,21510111,26510110,466.24
15,21510111,26510130,303.243
15,21510111,26510310,298.272
15,21510120,21510111,293.125
15,21510120,21510120,991.549
15,21510120,21510130,580.109
15,21510120,21510330,205.34
15,21510120,26510110,411.615
15,21510120,26510130,271.31
15,21510120,26510310,337.457
15,21510130,21510111,380.033
15,21510130,21510120,523.964
15,21510130,21510130,3274.61
15,21510130,21510330,471.679
15,21510130,26510110,652.513
15,21510130,26510130,452.964
15,21510130,26510310,482.089
15,21510330,21510111,202.006
15,21510330,21510120,82.6388
15,21510330,21510130,508.407
15,21510330,21510330,611.106
15,21510330,26510110,349.914
15,21510330,26510130,191.011
15,21510330,26510310,158.786
